"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
295|"Field of Dreams"|"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the Chicago White Sox come."|"Drama, Family, Fantasy"|"301.jpg"|"Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta"|"USA"|"English"|"107 min"|1989
296|"The Matrix"|"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."|"Action, Sci-Fi"|"302.jpg"|"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"|"USA"|"English"|"136 min"|1999
297|"The Lost World: Jurassic Park"|"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda."|"Action, Adventure, Sci-Fi"|"303.jpg"|"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard"|"USA"|"English, Spanish"|"129 min"|1997
298|"Guess Who's Coming to Dinner"|"A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé."|"Comedy, Drama, Romance"|"304.jpg"|"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton"|"USA"|"English"|"108 min"|1967
299|"Pillow Talk"|"A man and a woman who share a telephone line despise each other, but he has fun romancing her with his voice disguised."|"Comedy, Romance"|"305.jpg"|"Rock Hudson, Doris Day, Tony Randall, Thelma Ritter"|"USA"|"French, English"|"102 min"|1959
300|"Beetlejuice"|"A couple of recently deceased ghosts contract the services of a \bio-exorcist\ in order to remove the obnoxious new owners of their house."|"Comedy, Fantasy"|"306.jpg"|"Alec Baldwin, Geena Davis, Annie McEnroe, Maurice Page"|"USA"|"English"|"92 min"|1988
301|"Deconstructing Harry"|"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him."|"Comedy"|"307.jpg"|"Judy Davis, Julia Louis-Dreyfus, Stephanie Roth Haberle, Dan Frazer"|"USA"|"English"|"96 min"|1997
302|"Glengarry Glen Ross"|"An examination of the machinations behind the scenes at a real estate office."|"Crime, Drama, Mystery"|"308.jpg"|"Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin"|"USA"|"English"|"100 min"|1992
303|"Babe"|"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."|"Comedy, Drama, Family"|"309.jpg"|"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving"|"Australia, USA"|"English"|"91 min"|1995
304|"Blade Runner"|"A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator."|"Sci-Fi, Thriller"|"310.jpg"|"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"|"USA, Hong Kong, UK"|"English, German, Cantonese, Japanese, Hungarian"|"117 min"|1982
305|"Dogville"|"A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits town, she finds out that their support has a price. Yet her dangerous secret is never far away..."|"Crime, Drama"|"311.jpg"|"Nicole Kidman, Harriet Andersson, Lauren Bacall, Jean-Marc Barr"|"Denmark, Sweden, UK, France, Germany, Netherlands, Norway, Finland, Italy"|"English"|"178 min"|2003
306|"Longtime Companion"|"The emergence and devastation of the AIDS epidemic is chronicled in the lives of several gay men living during the 1980s."|"Drama, Romance"|"312.jpg"|"Campbell Scott, Patrick Cassidy, John Dossett, Mary-Louise Parker"|"USA"|"English"|"96 min"|1989
307|"Runaway Jury"|"A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer."|"Drama, Thriller"|"313.jpg"|"John Cusack, Gene Hackman, Dustin Hoffman, Rachel Weisz"|"USA"|"English, Italian, French"|"127 min"|2003
308|"Three Amigos"|"Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing."|"Comedy, Western"|"314.jpg"|"Steve Martin, Chevy Chase, Martin Short, Alfonso Arau"|"USA"|"English, German, Spanish"|"104 min"|1986
309|"Brigadoon"|"Two Americans on a hunting trip in Scotland become lost. They encounter a small village, not on the map, called Brigadoon, in which people harbor a mysterious secret, and behave as if they were still living two hundred years in the past."|"Fantasy, Musical, Romance"|"315.jpg"|"Gene Kelly, Van Johnson, Cyd Charisse, Elaine Stewart"|"USA"|"English"|"108 min"|1954
310|"The Passion of Joan of Arc"|"A chronicle of the trial of Jeanne d'Arc on charges of heresy, and the efforts of her ecclesiastical jurists to force Jeanne to recant her claims of holy visions."|"Biography, Drama, History"|"316.jpg"|"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz"|"France"|"French"|"114 min"|1928
311|"City Slickers"|"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."|"Comedy"|"317.jpg"|"Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig"|"USA"|"English"|"113 min"|1991
312|"Mission: Impossible"|"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."|"Action, Adventure, Thriller"|"318.jpg"|"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner"|"USA, United Arab Emirates, Czech Republic"|"English, Russian, French, Arabic, Swedish"|"133 min"|2011
313|"Short Cuts"|"The day-to-day lives of a number of suburban Los Angeles residents."|"Comedy, Drama"|"319.jpg"|"Andie MacDowell, Bruce Davison, Jack Lemmon, Zane Cassidy"|"USA"|"English"|"187 min"|1993
314|"Witness"|"A young Amish boy is sole witness to a murder; policeman John Book goes into hiding in Amish country to protect him until the trial."|"Crime, Drama, Romance"|"320.jpg"|"Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas"|"USA"|"English, German"|"112 min"|1985
315|"Ocean's Eleven"|"Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously."|"Crime, Thriller"|"321.jpg"|"George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence"|"USA"|"English, Italian, Cantonese"|"116 min"|2001
316|"Mr. Smith Goes to Washington"|"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."|"Comedy, Drama"|"322.jpg"|"Jean Arthur, James Stewart, Claude Rains, Edward Arnold"|"USA"|"English"|"129 min"|1939
317|"The Firm"|"A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side."|"Drama, Mystery, Thriller"|"323.jpg"|"Tom Cruise, Jeanne Tripplehorn, Gene Hackman, Hal Holbrook"|"USA"|"English"|"154 min"|1993
318|"Autumn Sonata"|"A married daughter who longs for her mother's love gets visited by the latter, a successful concert pianist."|"Drama, Music"|"324.jpg"|"Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk"|"France, West Germany, Sweden, UK"|"Swedish, English"|"99 min"|1978
