"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
372|"Bridget Jones: The Edge of Reason"|"After finding love, Bridget Jones questions if she really has everything she's dreamed of having."|"Comedy, Drama, Romance"|"378.jpg"|"Renée Zellweger, Gemma Jones, Jim Broadbent, James Faulkner"|"UK, France, Germany, Ireland, USA"|"English, German, Thai"|"108 min"|2004
373|"Indiana Jones and the Last Crusade"|"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps and stop the Nazis."|"Action, Adventure, Fantasy"|"379.jpg"|"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody"|"USA"|"English, German, Greek"|"127 min"|1989
374|"Halloween"|"On Halloween night of 1963, six-year-old Michael Myers stabbed his sister to death. After sitting in a mental hospital for 15 years, Myers escapes and returns to Haddonfield to kill."|"Horror, Thriller"|"380.jpg"|"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles"|"USA"|"English"|"91 min"|1978
375|"Dune"|"A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule."|"Action, Adventure, Sci-Fi"|"381.jpg"|"Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer"|"USA"|"English, Italian"|"137 min"|1984
376|"Akira Kurosawa's Dreams"|"A collection of tales based upon the actual dreams of director Akira Kurosawa."|"Drama, Fantasy"|"382.jpg"|"Akira Terao, Mitsuko Baishô, Toshie Negishi, Mieko Harada"|"USA, Japan"|"Japanese, French, English"|"119 min"|1990
377|"Jules and Jim"|"Decades of a love triangle concerning two friends and an impulsive woman."|"Drama, Romance"|"383.jpg"|"Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino"|"France"|"German, English, French"|"105 min"|1962
378|"The Rules of the Game"|"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."|"Comedy, Drama, Romance"|"384.jpg"|"Nora Gregor, Paulette Dubost, Mila Parély, Odette Talazac"|"France"|"French, German, English"|"110 min"|1939
379|"Cape Fear"|"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."|"Crime, Thriller"|"385.jpg"|"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis"|"USA"|"English"|"128 min"|1991
380|"The Life Aquatic with Steve Zissou"|"With a plan to exact revenge on a mythical shark that killed his partner, oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son."|"Adventure, Comedy, Drama"|"386.jpg"|"Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston"|"USA"|"English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian"|"119 min"|2004
381|"Bird"|"An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys."|"Action, Comedy"|"387.jpg"|"Mel Gibson, Goldie Hawn, David Carradine, Bill Duke"|"USA"|"English"|"110 min"|1990
382|"Xanadu"|"The story of a girl who makes dreams come true."|"Fantasy, Musical, Romance"|"388.jpg"|"Olivia Newton-John, Gene Kelly, Michael Beck, James Sloyan"|"USA"|"English"|"96 min"|1980
383|"The King is Alive"|"When a bus breaks down in the desert, the passengers decide to stage \King Lear.\"|"Drama"|"389.jpg"|"Miles Anderson, Romane Bohringer, David Bradley, David Calder"|"Denmark, Sweden, USA"|"French, English"|"110 min"|2000
384|"Malcolm X"|"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."|"Biography, Drama, History"|"390.jpg"|"Denzel Washington, Angela Bassett, Albert Hall, Al Freeman Jr."|"USA, Japan"|"English"|"202 min"|1992
385|"Dumbo"|"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential."|"Animation, Drama, Family"|"391.jpg"|"James Baskett, Herman Bing, Billy Bletcher, Edward Brophy"|"USA"|"English"|"64 min"|1941
386|"Metropolis"|"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."|"Drama, Sci-Fi"|"392.jpg"|"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp"|"Germany"|"German"|"153 min"|1927
387|"Zelig"|"\Documentary\ about a man who can look and act like whoever he's around, and meets various famous people."|"Comedy"|"393.jpg"|"Woody Allen, Mia Farrow, Patrick Horgan, John Buckwalter"|"USA"|"English, German"|"79 min"|1983
388|"Deep Impact"|"Unless a comet can be destroyed before colliding with Earth, only those allowed into shelters will survive. Which people will survive?"|"Action, Drama, Sci-Fi"|"394.jpg"|"Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave"|"USA"|"English"|"120 min"|1998
389|"The River"|"After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it."|"Adventure, Drama, War"|"395.jpg"|"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"|"UK, USA"|"English, Japanese, Thai"|"161 min"|1957
390|"The Stunt Man"|"A fugitive stumbles on a movie set just when they need a new stunt man, takes the job as a way to hide out, and falls for the leading lady."|"Action, Comedy, Drama"|"396.jpg"|"Peter O'Toole, Steve Railsback, Barbara Hershey, Allen Garfield"|"USA"|"English"|"131 min"|1980
391|"Secretary"|"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."|"Comedy, Drama, Romance"|"397.jpg"|"James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren"|"USA"|"English"|"104 min"|2002
392|"Europa Europa"|"An international crew of astronauts undertakes a privately funded mission to search for life on Jupiter's fourth largest moon."|"Sci-Fi, Thriller"|"398.jpg"|"Daniel Wu, Sharlto Copley, Christian Camargo, Karolina Wydra"|"USA"|"English, Russian, Chinese"|"90 min"|2013
393|"The Treasure of the Sierra Madre"|"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains."|"Adventure, Drama"|"399.jpg"|"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett"|"USA"|"English, Spanish"|"126 min"|1948
394|"The Outlaw Josey Wales"|"A Missouri farmer joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family."|"Western"|"400.jpg"|"Clint Eastwood, Chief Dan George, Sondra Locke, Bill McKinney"|"USA"|"English, Navajo, Spanish"|"135 min"|1976
395|"Anchors Aweigh"|"Two sailors, one naive, the other experienced in the ways of the world, on liberty in Los Angeles, is the setting for this movie musical."|"Comedy, Fantasy, Musical"|"402.jpg"|"Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi"|"USA"|"English, Spanish"|"143 min"|1945
396|"The Life of David Gale"|"A man against capital punishment is accused of murdering a fellow activist and is sent to death row."|"Crime, Drama, Thriller"|"403.jpg"|"Kate Winslet, Cleo King, Constance Jones, Kevin Spacey"|"USA, Germany, UK"|"English, Spanish"|"130 min"|2003
397|"Apollo 13"|"NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy."|"Adventure, Drama, History"|"407.jpg"|"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise"|"USA"|"English"|"140 min"|1995
398|"Interiors"|"Three sisters find their lives spinning out of control in the wake of their parents' sudden, unexpected divorce."|"Drama"|"408.jpg"|"Kristin Griffith, Mary Beth Hurt, Richard Jordan, Diane Keaton"|"USA"|"English"|"93 min"|1978
399|"Derrida"|"Documentary about French philosopher (and author of deconstructionism) Jacques Derrida, who sparked fierce debate throughout American academia."|"Documentary"|"409.jpg"|"Jacques Derrida, Marguerite Derrida, René Major, Chantal Major"|"USA"|"English, French"|"84 min"|2002
